Date,MilesDriven,EvMilesDriven,GallonsBurned
"6/25/2017 12:00:00 AM","163.70000","52.60000","3.03005"
"6/26/2017 12:00:00 AM","202.40000","42.50000","4.15543"
"6/27/2017 12:00:00 AM","202.30000","53.80000","3.97314"
"6/28/2017 12:00:00 AM","197.70000","52.40000","3.93617"
"6/29/2017 12:00:00 AM","192.60000","45.20000","3.83577"
"6/30/2017 12:00:00 AM","12.20000","0.00000","0.34607"
"7/1/2017 12:00:00 AM","119.50000","33.30000","2.80286"
"7/2/2017 12:00:00 AM","97.90000","25.50000","1.87034"
"7/3/2017 12:00:00 AM","35.40000","9.00000","0.74761"
"7/4/2017 12:00:00 AM","10.80000","10.80000","0.00000"
"7/5/2017 12:00:00 AM","197.00000","57.80000","3.83313"
"7/6/2017 12:00:00 AM","12.30000","12.30000","0.00000"
"7/7/2017 12:00:00 AM","6.40000","6.40000","0.00000"
"7/8/2017 12:00:00 AM","3.00000","3.00000","0.00000"
"7/9/2017 12:00:00 AM","0.90000","0.90000","0.00000"
"7/10/2017 12:00:00 AM","197.40000","65.40000","3.60859"
"7/11/2017 12:00:00 AM","212.40000","63.20000","4.21883"
"7/12/2017 12:00:00 AM","203.60000","65.60000","3.93352"
"7/13/2017 12:00:00 AM","140.10000","54.90000","2.60738"
"7/17/2017 12:00:00 AM","203.80000","45.90000","4.02598"
"7/18/2017 12:00:00 AM","204.30000","61.90000","3.86219"
"7/19/2017 12:00:00 AM","197.60000","62.30000","3.79880"
"7/20/2017 12:00:00 AM","197.80000","66.30000","3.57424"
"7/21/2017 12:00:00 AM","24.50000","5.10000","0.45438"
"7/22/2017 12:00:00 AM","3.60000","3.60000","0.00000"
"7/23/2017 12:00:00 AM","3.50000","3.50000","0.00000"
"7/24/2017 12:00:00 AM","198.00000","59.30000","3.79351"
"7/25/2017 12:00:00 AM","198.00000","71.70000","3.61123"
"7/26/2017 12:00:00 AM","140.00000","62.10000","2.44887"
"7/27/2017 12:00:00 AM","46.60000","38.30000","0.23512"
"7/28/2017 12:00:00 AM","106.80000","38.90000","1.65371"
"8/1/2017 12:00:00 AM","198.40000","54.50000","3.83049"
"8/2/2017 12:00:00 AM","198.30000","54.50000","3.70105"
"8/3/2017 12:00:00 AM","207.40000","57.40000","4.21883"
"8/4/2017 12:00:00 AM","106.20000","32.00000","1.94959"
"8/5/2017 12:00:00 AM","78.90000","8.60000","1.84392"
"8/6/2017 12:00:00 AM","57.10000","52.20000","0.24040"
"8/7/2017 12:00:00 AM","55.30000","8.20000","1.11480"
"8/8/2017 12:00:00 AM","197.80000","64.30000","3.85163"
"8/9/2017 12:00:00 AM","196.10000","58.70000","3.92824"
"8/10/2017 12:00:00 AM","198.10000","72.00000","3.59009"
"8/11/2017 12:00:00 AM","0.00000","0.00000","0.00000"
